Fecha,Close,return aritm,return geom
02-Jan-07,"26,664.45",0.008171744,0.003534521
03-Jan-07,"26,619.37",-0.001690644,-0.000734859
04-Jan-07,"26,566.28",-0.001994407,-0.000867025
05-Jan-07,"26,135.60",-0.016211517,-0.007098266
08-Jan-07,"26,281.64",0.00558782,0.002420004
09-Jan-07,"25,783.04",-0.018971478,-0.008318366
10-Jan-07,"25,885.80",0.003985633,0.001727498
11-Jan-07,"26,247.90",0.013988349,0.006032965
12-Jan-07,"26,324.38",0.002913775,0.001263596
15-Jan-07,"26,480.03",0.00591271,0.002560296
16-Jan-07,"26,480.33",1.13588E-05,4.93303E-06
17-Jan-07,"26,558.50",0.002952,0.001280149
18-Jan-07,"26,112.87",-0.016779218,-0.00734895
19-Jan-07,"26,213.38",0.003849126,0.001668445
22-Jan-07,"26,432.25",0.00834952,0.003611096
23-Jan-07,"26,810.00",0.014291254,0.006162681
24-Jan-07,"27,338.30",0.019705363,0.008474703
25-Jan-07,"26,899.34",-0.016056628,-0.007029896
26-Jan-07,"27,045.71",0.005441438,0.00235678
29-Jan-07,"26,834.05",-0.007826016,-0.003412165
30-Jan-07,"27,135.37",0.011228955,0.004849497
31-Jan-07,"27,561.49",0.01570353,0.006766962
01-Feb-07,"27,842.76",0.010205164,0.004409584
02-Feb-07,"27,933.07",0.003243592,0.001406394
06-Feb-07,"28,067.40",0.004808998,0.002083515
07-Feb-07,"28,123.76",0.002008001,0.000871189
08-Feb-07,"28,197.26",0.002613449,0.001133526
09-Feb-07,"27,906.89",-0.010297779,-0.004495455
12-Feb-07,"27,972.23",0.002341352,0.001015648
13-Feb-07,"28,262.65",0.010382437,0.004485788
14-Feb-07,"28,539.69",0.009802303,0.004236357
15-Feb-07,"28,498.75",-0.001434474,-0.000623432
16-Feb-07,"28,491.07",-0.000269475,-0.000117047
19-Feb-07,"28,590.17",0.003478269,0.001507972
20-Feb-07,"28,589.66",-1.78301E-05,-7.74359E-06
21-Feb-07,"28,715.96",0.004417708,0.001914361
22-Feb-07,"28,676.48",-0.001374861,-0.000597506
23-Feb-07,"28,505.72",-0.005954697,-0.002593823
26-Feb-07,"28,046.16",-0.016121695,-0.007058616
27-Feb-07,"26,418.82",-0.058023624,-0.025959989
28-Feb-07,"26,638.95",0.008332276,0.003603669
01-Mar-07,"26,647.65",0.000326633,0.000141832
02-Mar-07,"26,321.12",-0.01225366,-0.005354571
05-Mar-07,"25,788.37",-0.020240401,-0.008880473
06-Mar-07,"26,355.64",0.021997183,0.009449699
07-Mar-07,"26,184.39",-0.00649766,-0.002831106
08-Mar-07,"26,773.79",0.022509534,0.009667366
09-Mar-07,"27,106.53",0.012427835,0.005364077
12-Mar-07,"27,261.17",0.005704922,0.002470575
13-Mar-07,"26,589.20",-0.024649371,-0.010839232
14-Mar-07,"26,719.32",0.004893757,0.002120148
15-Mar-07,"26,883.53",0.006145702,0.002660876
16-Mar-07,"26,901.42",0.000665486,0.000288921
20-Mar-07,"27,407.46",0.018810941,0.0080936
21-Mar-07,"28,219.55",0.029630247,0.012681292
22-Mar-07,"28,258.80",0.00139088,0.000603632
23-Mar-07,"28,272.03",0.00046812,0.000203254
26-Mar-07,"28,158.97",-0.003998956,-0.001740206
27-Mar-07,"28,124.33",-0.001230181,-0.00053459
28-Mar-07,"28,098.28",-0.000926272,-0.000402461
29-Mar-07,"28,704.24",0.021565767,0.009266331
30-Mar-07,"28,747.69",0.001513686,0.000656889
02-Apr-07,"29,171.52",0.014743101,0.006356107
03-Apr-07,"29,348.09",0.006052832,0.002620788
04-Apr-07,"29,370.94",0.000778572,0.000337998
09-Apr-07,"29,632.20",0.008895179,0.003846047
10-Apr-07,"29,515.64",-0.003933511,-0.001711671
11-Apr-07,"29,278.75",-0.008025935,-0.003499682
12-Apr-07,"29,606.97",0.011210202,0.004841443
13-Apr-07,"29,762.22",0.005243698,0.002271359
16-Apr-07,"29,718.66",-0.001463619,-0.000636107
17-Apr-07,"29,598.99",-0.00402676,-0.00175233
18-Apr-07,"29,559.52",-0.001333515,-0.000579525
19-Apr-07,"29,614.05",0.001844795,0.000800446
20-Apr-07,"29,832.48",0.00737588,0.003191548
23-Apr-07,"29,593.85",-0.007999028,-0.003487903
24-Apr-07,"29,544.18",-0.001678387,-0.000729526
25-Apr-07,"29,444.15",-0.003385753,-0.001472909
26-Apr-07,"29,342.70",-0.003445546,-0.001498965
27-Apr-07,"29,372.93",0.001030255,0.000447204
30-Apr-07,"28,996.71",-0.01280835,-0.005598526
02-May-07,"29,259.92",0.009077201,0.003924394
03-May-07,"29,752.95",0.016849988,0.007256888
04-May-07,"30,013.85",0.008768892,0.003791681
07-May-07,"29,776.57",-0.00790566,-0.003447028
08-May-07,"29,572.40",-0.006856731,-0.002988096
09-May-07,"29,992.83",0.014216962,0.006130869
10-May-07,"29,653.82",-0.011303027,-0.004936795
11-May-07,"30,058.75",0.013655228,0.005890265
14-May-07,"29,766.33",-0.00972828,-0.004245623
15-May-07,"29,619.91",-0.004918978,-0.002141556
16-May-07,"30,341.25",0.024353208,0.010449732
17-May-07,"30,478.37",0.004519232,0.001958256
18-May-07,"30,676.34",0.006495449,0.002811816
21-May-07,"30,708.73",0.001055883,0.000458322
22-May-07,"30,802.25",0.003045373,0.001320579
23-May-07,"30,869.84",0.002194315,0.000951935
24-May-07,"30,338.58",-0.01720967,-0.007539125
25-May-07,"30,700.01",0.011913204,0.005143263
28-May-07,"30,928.43",0.007440386,0.003219357
29-May-07,"30,664.73",-0.008526111,-0.003718719
30-May-07,"31,380.00",0.023325479,0.010013787
31-May-07,"31,398.96",0.000604236,0.000262337
01-Jun-07,"31,946.40",0.017434954,0.007506654
04-Jun-07,"32,096.21",0.004689434,0.002031835
05-Jun-07,"32,271.38",0.005457651,0.002363783
06-Jun-07,"31,681.76",-0.018270712,-0.008008252
07-Jun-07,"31,184.49",-0.015695767,-0.006870647
08-Jun-07,"31,466.60",0.009046464,0.003911165
11-Jun-07,"31,833.44",0.011658071,0.005033751
12-Jun-07,"31,608.59",-0.007063315,-0.003078444
13-Jun-07,"31,884.06",0.008715058,0.003768504
14-Jun-07,"32,114.09",0.007214555,0.003121993
15-Jun-07,"32,128.97",0.000463375,0.000201194
18-Jun-07,"32,218.17",0.002776286,0.001204055
19-Jun-07,"32,064.99",-0.00475445,-0.002069756
20-Jun-07,"31,550.76",-0.016037132,-0.00702129
21-Jun-07,"31,830.84",0.008877126,0.003838276
22-Jun-07,"31,642.26",-0.005924446,-0.002580606
25-Jun-07,"31,296.01",-0.010942645,-0.004778523
26-Jun-07,"30,744.71",-0.017615627,-0.007718554
27-Jun-07,"30,804.21",0.001935292,0.000839674
28-Jun-07,"31,079.24",0.008928302,0.003860305
29-Jun-07,"31,151.05",0.002310563,0.001002307
02-Jul-07,"31,420.69",0.008655845,0.00374301
03-Jul-07,"32,117.83",0.022187312,0.009530486
04-Jul-07,"32,201.63",0.002609167,0.001131671
05-Jul-07,"32,177.83",-0.000739117,-0.000321113
06-Jul-07,"32,411.84",0.007272391,0.00314693
09-Jul-07,"32,088.25",-0.009983693,-0.004357652
10-Jul-07,"31,743.02",-0.010758781,-0.004697796
11-Jul-07,"31,916.27",0.005457893,0.002363888
12-Jul-07,"32,261.10",0.01080421,0.004667042
13-Jul-07,"32,386.51",0.003887349,0.001684981
16-Jul-07,"32,265.93",-0.003723158,-0.001619964
17-Jul-07,"31,979.14",-0.008888294,-0.003877394
18-Jul-07,"31,886.74",-0.002889396,-0.001256665
19-Jul-07,"32,150.65",0.008276486,0.003579639
20-Jul-07,"31,922.62",-0.007092586,-0.003091246
23-Jul-07,"32,168.43",0.0077002,0.003331345
24-Jul-07,"31,462.15",-0.021955666,-0.009641459
25-Jul-07,"31,103.53",-0.011398493,-0.004978732
26-Jul-07,"29,996.60",-0.035588556,-0.015737645
27-Jul-07,"30,235.17",0.007953245,0.003440387
30-Jul-07,"30,900.68",0.022011114,0.009455619
31-Jul-07,"30,659.66",-0.007799813,-0.003400696
01-Aug-07,"30,048.37",-0.019937958,-0.008746431
02-Aug-07,"30,394.81",0.011529458,0.004978535
03-Aug-07,"29,671.77",-0.023788305,-0.010455994
06-Aug-07,"29,721.63",0.00168043,0.000729189
07-Aug-07,"30,239.92",0.01743811,0.007508001
08-Aug-07,"30,661.87",0.013953384,0.006017989
09-Aug-07,"29,883.96",-0.025370541,-0.011160466
10-Aug-07,"29,420.47",-0.015509665,-0.006788543
13-Aug-07,"29,607.20",0.006346891,0.002747709
14-Aug-07,"28,895.73",-0.024030262,-0.010563648
15-Aug-07,"28,140.73",-0.026128428,-0.011498311
16-Aug-07,"27,793.16",-0.012351148,-0.005397437
17-Aug-07,"28,510.66",0.025815704,0.011069343
20-Aug-07,"28,453.55",-0.002003088,-0.000870803
21-Aug-07,"28,568.43",0.004037419,0.001749899
22-Aug-07,"29,269.34",0.024534431,0.010526558
23-Aug-07,"29,459.82",0.00650785,0.002817166
24-Aug-07,"30,041.54",0.019746174,0.008492085
27-Aug-07,"30,275.84",0.007799227,0.003374021
28-Aug-07,"29,326.76",-0.03134777,-0.013832118
29-Aug-07,"29,710.78",0.013094509,0.005649962
30-Aug-07,"29,744.07",0.001120503,0.000486356
31-Aug-07,"30,347.86",0.020299477,0.008727664
03-Sep-07,"30,797.60",0.014819504,0.006388806
04-Sep-07,"30,932.71",0.004387073,0.001901115
05-Sep-07,"30,809.55",-0.003981551,-0.001732617
06-Sep-07,"30,816.95",0.000240135,0.000104277
07-Sep-07,"30,252.77",-0.018307448,-0.008024504
10-Sep-07,"29,893.18",-0.011886179,-0.005193026
11-Sep-07,"30,191.14",0.009967522,0.004307408
12-Sep-07,"30,076.33",-0.003802789,-0.001654679
13-Sep-07,"30,302.23",0.007510903,0.003249755
14-Sep-07,"30,096.03",-0.006804818,-0.002965396
17-Sep-07,"29,794.49",-0.010019231,-0.004373242
18-Sep-07,"30,603.42",0.027150311,0.011634002
19-Sep-07,"30,512.64",-0.002966312,-0.001290167
20-Sep-07,"30,485.75",-0.000881295,-0.00038291
21-Sep-07,"30,583.07",0.003192321,0.001384199
24-Sep-07,"30,543.45",-0.001295524,-0.000563004
25-Sep-07,"30,294.77",-0.008141834,-0.003550427
26-Sep-07,"30,303.18",0.000277611,0.000120548
27-Sep-07,"30,528.00",0.007419034,0.003210152
28-Sep-07,"30,296.19",-0.007593375,-0.003310345
01-Oct-07,"30,855.68",0.018467347,0.00794711
02-Oct-07,"31,451.79",0.019319275,0.008310237
03-Oct-07,"31,178.84",-0.008678337,-0.003785403
04-Oct-07,"31,078.33",-0.003223653,-0.001402276
05-Oct-07,"31,540.94",0.014885271,0.00641695
08-Oct-07,"31,825.51",0.009022252,0.003900744
09-Oct-07,"31,801.69",-0.000748466,-0.000325176
10-Oct-07,"32,129.40",0.010304828,0.004452428
11-Oct-07,"31,980.95",-0.004620415,-0.002011271
12-Oct-07,"32,473.47",0.015400465,0.006637358
15-Oct-07,"32,335.86",-0.004237654,-0.0018443
16-Oct-07,"32,230.82",-0.003248377,-0.001413049
17-Oct-07,"32,721.82",0.015233866,0.006566096
18-Oct-07,"32,836.12",0.003493106,0.001514393
19-Oct-07,"31,823.40",-0.030841667,-0.013605266
22-Oct-07,"31,969.48",0.004590335,0.001988996
23-Oct-07,"32,229.44",0.008131474,0.003517173
24-Oct-07,"32,048.18",-0.005624043,-0.002449385
25-Oct-07,"31,886.10",-0.005057388,-0.002201969
26-Oct-07,"32,136.76",0.007861111,0.003400688
29-Oct-07,"32,100.76",-0.001120213,-0.000486775
