fechas,mexbol_index,
1-Jan-16,42977.5,
2-Jan-16,42977.5,
3-Jan-16,42977.5,
4-Jan-16,42113.7,
5-Jan-16,42041.68,
6-Jan-16,41691.19,
7-Jan-16,40661.57,
8-Jan-16,40265.37,
9-Jan-16,40265.37,
10-Jan-16,40265.37,
11-Jan-16,40706.89,
12-Jan-16,41022.74,
13-Jan-16,41008.78,
14-Jan-16,41352.75,
15-Jan-16,40847.7,
16-Jan-16,40847.7,
17-Jan-16,40847.7,
18-Jan-16,40604.79,
19-Jan-16,40809.25,
20-Jan-16,40844.41,
21-Jan-16,41166.88,
22-Jan-16,41621.31,
23-Jan-16,41621.31,
24-Jan-16,41621.31,
25-Jan-16,41476.35,
26-Jan-16,41932.39,
27-Jan-16,42109.89,
28-Jan-16,42393.02,
29-Jan-16,43630.77,
30-Jan-16,43630.77,
31-Jan-16,43630.77,
1-Feb-16,43630.77,
2-Feb-16,43092.49,
3-Feb-16,43257.54,
4-Feb-16,43751.93,
5-Feb-16,43229.67,
6-Feb-16,43229.67,
7-Feb-16,43229.67,
8-Feb-16,42774.85,
9-Feb-16,42399.19,
10-Feb-16,42535.74,
11-Feb-16,42359.26,
12-Feb-16,42416.44,
13-Feb-16,42416.44,
14-Feb-16,42416.44,
15-Feb-16,43205.91,
16-Feb-16,43100.32,
17-Feb-16,43585.23,
18-Feb-16,43516.66,
19-Feb-16,43375.31,
20-Feb-16,43375.31,
21-Feb-16,43375.31,
22-Feb-16,43546.72,
23-Feb-16,43216.58,
24-Feb-16,43173.73,
25-Feb-16,43434.55,
26-Feb-16,43473.37,
27-Feb-16,43473.37,
28-Feb-16,43473.37,
29-Feb-16,43714.93,
1-Mar-16,44214.5,
2-Mar-16,44615.75,
3-Mar-16,44742.22,
4-Mar-16,44849.02,
5-Mar-16,44849.02,
6-Mar-16,44849.02,
7-Mar-16,44967.16,
8-Mar-16,44504.29,
9-Mar-16,44492.5,
10-Mar-16,44337.04,
11-Mar-16,44735.5,
12-Mar-16,44735.5,
13-Mar-16,44735.5,
14-Mar-16,44691.8,
15-Mar-16,44210.44,
16-Mar-16,44751.4,
17-Mar-16,45435.09,
18-Mar-16,45482.39,
19-Mar-16,45482.39,
20-Mar-16,45482.39,
21-Mar-16,45482.39,
22-Mar-16,45632.28,
23-Mar-16,45647.57,
24-Mar-16,45647.57,
25-Mar-16,45647.57,
26-Mar-16,45647.57,
27-Mar-16,45647.57,
28-Mar-16,45623.48,
29-Mar-16,45897.65,
30-Mar-16,46191.51,
31-Mar-16,45881.08,
1-Apr-16,46062.92,
2-Apr-16,46062.92,
3-Apr-16,46062.92,
4-Apr-16,45678.18,
5-Apr-16,45186.01,
6-Apr-16,45281.97,
7-Apr-16,45052.16,
8-Apr-16,44859.49,
9-Apr-16,44859.49,
10-Apr-16,44859.49,
11-Apr-16,44760.53,
12-Apr-16,45090.67,
13-Apr-16,45411.3,
14-Apr-16,45403.54,
15-Apr-16,45536.52,
16-Apr-16,45536.52,
17-Apr-16,45536.52,
18-Apr-16,45022.63,
19-Apr-16,45780.18,
20-Apr-16,45650.35,
21-Apr-16,45556.65,
22-Apr-16,45613.21,
23-Apr-16,45613.21,
24-Apr-16,45613.21,
25-Apr-16,45581.2,
26-Apr-16,45416.9,
27-Apr-16,45941.52,
28-Apr-16,45528.93,
29-Apr-16,45784.77,
30-Apr-16,45784.77,
1-May-16,45784.77,
2-May-16,45707.87,
3-May-16,45647.82,
4-May-16,45349,
5-May-16,45147.97,
6-May-16,45209.85,
7-May-16,45209.85,
8-May-16,45209.85,
9-May-16,45250.34,
10-May-16,45676.41,
11-May-16,45506.87,
12-May-16,45685.82,
13-May-16,45402.47,
14-May-16,45402.47,
15-May-16,45402.47,
16-May-16,45843.14,
17-May-16,45872.18,
18-May-16,45551.2,
19-May-16,45051.27,
20-May-16,45155.91,
21-May-16,45155.91,
22-May-16,45155.91,
23-May-16,45236.16,
24-May-16,45497.46,
25-May-16,45710.94,
26-May-16,46039.69,
27-May-16,46124.15,
28-May-16,46124.15,
29-May-16,46124.15,
30-May-16,46017.21,
31-May-16,45459.45,
1-Jun-16,45557.61,
2-Jun-16,45508.31,
3-Jun-16,45928.23,
4-Jun-16,45928.23,
5-Jun-16,45928.23,
6-Jun-16,45857.73,
7-Jun-16,46124.63,
8-Jun-16,46263.84,
9-Jun-16,45662.71,
10-Jun-16,45177.5,
11-Jun-16,45177.5,
12-Jun-16,45177.5,
13-Jun-16,44930.25,
14-Jun-16,44570.59,
15-Jun-16,45011.22,
16-Jun-16,45225.4,
17-Jun-16,45306.22,
18-Jun-16,45306.22,
19-Jun-16,45306.22,
20-Jun-16,45779.66,
21-Jun-16,45705.42,
22-Jun-16,45806.16,
23-Jun-16,46145.92,
24-Jun-16,44885.82,
25-Jun-16,44885.82,
26-Jun-16,44885.82,
27-Jun-16,44282.03,
28-Jun-16,44714.54,
29-Jun-16,45466.37,
30-Jun-16,45966.49,
1-Jul-16,46213.27,
2-Jul-16,46213.27,
3-Jul-16,46213.27,
4-Jul-16,46201.33,
5-Jul-16,45819.6,
6-Jul-16,45304.75,
7-Jul-16,45394.37,
8-Jul-16,45744.29,
9-Jul-16,45744.29,
10-Jul-16,45744.29,
11-Jul-16,46177.61,
12-Jul-16,46432.7,
13-Jul-16,46271.97,
14-Jul-16,46498.51,
15-Jul-16,46713.43,
16-Jul-16,46713.43,
17-Jul-16,46713.43,
18-Jul-16,46961.25,
19-Jul-16,47060.57,
20-Jul-16,47505.25,
21-Jul-16,47364.81,
22-Jul-16,47537.28,
23-Jul-16,47537.28,
24-Jul-16,47537.28,
25-Jul-16,47130.41,
26-Jul-16,46927,
27-Jul-16,46812.07,
28-Jul-16,46833.87,
29-Jul-16,46660.67,
30-Jul-16,46660.67,
31-Jul-16,46660.67,
1-Aug-16,46807.24,
2-Aug-16,46558.36,
3-Aug-16,46844.53,
4-Aug-16,46941.46,
5-Aug-16,47194.15,
6-Aug-16,47194.15,
7-Aug-16,47194.15,
8-Aug-16,47368.65,
9-Aug-16,47630.37,
10-Aug-16,47797.7,
11-Aug-16,48341.95,
12-Aug-16,48363.89,
13-Aug-16,48363.89,
14-Aug-16,48363.89,
15-Aug-16,48694.9,
16-Aug-16,48351.96,
17-Aug-16,48258.93,
18-Aug-16,48437.1,
19-Aug-16,48297.46,
20-Aug-16,48297.46,
21-Aug-16,48297.46,
22-Aug-16,48293.46,
23-Aug-16,47666.02,
24-Aug-16,47743.61,
25-Aug-16,47734.2,
26-Aug-16,47369.57,
27-Aug-16,47369.57,
28-Aug-16,47369.57,
29-Aug-16,47599.12,
30-Aug-16,47650.57,
31-Aug-16,47541.32,
1-Sep-16,47563.34,
2-Sep-16,47787.99,
3-Sep-16,47787.99,
4-Sep-16,47787.99,
5-Sep-16,47842.23,
6-Sep-16,47626.98,
7-Sep-16,47398.7,
8-Sep-16,47416.97,
9-Sep-16,46459.17,
10-Sep-16,46459.17,
11-Sep-16,46459.17,
12-Sep-16,46720.96,
13-Sep-16,46154.2,
14-Sep-16,45767.57,
15-Sep-16,45922.91,
16-Sep-16,45922.91,
17-Sep-16,45922.91,
18-Sep-16,45922.91,
19-Sep-16,45871.04,
20-Sep-16,46341.33,
21-Sep-16,46929.19,
22-Sep-16,47975.05,
23-Sep-16,47778.48,
24-Sep-16,47778.48,
25-Sep-16,47778.48,
26-Sep-16,47252.54,
27-Sep-16,47731.84,
28-Sep-16,48046.56,
29-Sep-16,47672.07,
30-Sep-16,47245.8,
1-Oct-16,47245.8,
2-Oct-16,47245.8,
3-Oct-16,47601.93,
4-Oct-16,47909.27,
5-Oct-16,48141.42,
6-Oct-16,47944.77,
7-Oct-16,47596.6,
8-Oct-16,47596.6,
9-Oct-16,47596.6,
10-Oct-16,48264.96,
11-Oct-16,48014.4,
12-Oct-16,47915.12,
13-Oct-16,47741.54,
14-Oct-16,47701.45,
15-Oct-16,47701.45,
16-Oct-16,47701.45,
17-Oct-16,47657.33,
18-Oct-16,48106.12,
19-Oct-16,48492.61,
20-Oct-16,48274.25,
21-Oct-16,48418.4,
22-Oct-16,48418.4,
23-Oct-16,48418.4,
24-Oct-16,48431.25,
25-Oct-16,48093.53,
26-Oct-16,47805.44,
27-Oct-16,48114.67,
28-Oct-16,48007.2,
29-Oct-16,48007.2,
30-Oct-16,48007.2,
31-Oct-16,48009.28,
1-Nov-16,47303.31,
2-Nov-16,47303.31,
3-Nov-16,46683.8,
4-Nov-16,46694.81,
5-Nov-16,46694.81,
6-Nov-16,46694.81,
7-Nov-16,48050.25,
8-Nov-16,48470.99,
9-Nov-16,47390.66,
