Fecha,Close,return,,,
03-Dec-07,"29,968.53",0.006629181,,,
04-Dec-07,"29,998.79",0.001009209,,,
05-Dec-07,"30,761.64",0.025111463,,,
06-Dec-07,"31,257.30",0.015984494,,,
07-Dec-07,"31,268.36",0.00035373,,,
10-Dec-07,"31,182.75",-0.002741646,,,
11-Dec-07,"30,327.36",-0.027814803,,,
13-Dec-07,"30,088.04",-0.007922535,,,
14-Dec-07,"29,994.90",-0.003100339,,,
17-Dec-07,"28,968.20",-0.034828731,,,
18-Dec-07,"29,254.98",0.009851182,,,
19-Dec-07,"29,074.12",-0.00620143,,,
20-Dec-07,"29,148.45",0.002553309,,,
21-Dec-07,"29,638.40",0.01666912,,,
24-Dec-07,"29,853.77",0.007240283,,,
26-Dec-07,"30,002.46",0.004968295,,,
27-Dec-07,"29,642.12",-0.012083116,,,
28-Dec-07,"29,700.19",0.001957131,,,
31-Dec-07,"29,536.83",-0.005515463,,,
